               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092846,            0.027863,                   0,           0.0022205,             0.48765,           0.0013194,          0.00018943,            0.056509,            0.018451,                   0,             0.00016,             0.00016,             0.09856
                   1,            0.074571,              0.0255,                   0,            0.002614,             0.57407,           0.0020742,          0.00029787,            0.050564,             0.01601,                   0,          0.00032999,          0.00032999,             0.09703
                   2,            0.072547,            0.023765,                   0,           0.0024172,             0.53086,           0.0015869,          0.00022325,             0.05327,            0.014897,                   0,          0.00049996,          0.00049996,              0.0955
                   3,            0.071459,            0.024001,                   0,           0.0019587,              0.4321,           0.0011613,          0.00013611,            0.050947,            0.014239,                   0,          0.00066987,          0.00066987,             0.09397
                   4,            0.070421,            0.023869,                   0,           0.0026802,             0.48765,           0.0016115,           0.0002676,             0.05014,            0.014194,                   0,          0.00083971,          0.00083971,             0.09244
                   5,            0.072246,            0.023962,                   0,           0.0022567,             0.43827,           0.0017694,           0.0002626,            0.050213,            0.013861,                   0,           0.0010094,           0.0010094,            0.090909
                   6,            0.070171,            0.023617,                   0,           0.0026612,             0.51852,           0.0032966,          0.00047916,            0.049669,            0.014113,                   0,           0.0011791,           0.0011791,            0.089379
                   7,            0.070313,            0.024063,                   0,            0.011727,             0.20988,           0.0067502,          0.00095354,            0.058691,            0.011409,                   0,           0.0013485,           0.0013485,            0.087849
                   8,            0.068609,             0.02397,                   0,           0.0081346,             0.11111,           0.0045716,          0.00077501,            0.061395,            0.010767,                   0,           0.0015179,           0.0015179,            0.086318
                   9,            0.069584,             0.02505,                   0,            0.024946,            0.055556,           0.0049214,          0.00067624,            0.054575,            0.012997,                   0,            0.001687,            0.001687,            0.084787
                  10,            0.067083,            0.024172,                   0,           0.0034458,             0.59877,           0.0030739,          0.00048276,            0.048298,             0.01419,                   0,           0.0018559,           0.0018559,            0.083256
                  11,            0.064898,             0.02493,                   0,            0.012129,            0.049383,           0.0037104,          0.00048089,            0.053866,            0.013398,                   0,           0.0020246,           0.0020246,            0.081725
                  12,            0.066913,            0.024032,                   0,             0.04154,            0.030864,           0.0081141,           0.0011408,             0.04746,            0.013503,                   0,           0.0021931,           0.0021931,            0.080193
                  13,            0.065128,            0.024613,                   0,            0.012243,            0.012346,           0.0034112,          0.00050274,            0.042498,            0.013868,                   0,           0.0023612,           0.0023612,            0.078661
                  14,            0.063511,            0.024653,                   0,           0.0034452,             0.22222,           0.0031364,          0.00044044,             0.04727,            0.013519,                   0,           0.0025291,           0.0025291,            0.077129
                  15,            0.064705,            0.025213,                   0,           0.0080885,             0.58025,           0.0057467,          0.00088371,             0.04351,            0.013811,                   0,           0.0026967,           0.0026967,            0.075597
                  16,            0.061732,            0.024563,                   0,             0.11116,            0.055556,            0.021394,           0.0046933,             0.04515,             0.01346,                   0,           0.0028639,           0.0028639,            0.074064
                  17,            0.063537,            0.024726,                   0,             0.10114,             0.16667,            0.050354,            0.010347,            0.040044,            0.013938,                   0,           0.0030307,           0.0030307,            0.072531
                  18,            0.061024,            0.025932,                   0,            0.031487,             0.40123,            0.026129,           0.0042821,            0.038464,            0.014821,                   0,           0.0031972,           0.0031972,            0.070997
                  19,              0.0612,            0.025277,                   0,             0.21451,              0.2037,             0.10887,            0.025646,            0.044557,             0.01378,                   0,           0.0033632,           0.0033632,            0.069463
                  20,            0.058583,            0.026644,                   0,               0.193,             0.34568,             0.16838,            0.034468,            0.040239,            0.014308,                   0,           0.0035289,           0.0035289,            0.067929
                  21,            0.055626,            0.026445,                   0,             0.21462,             0.30864,             0.14354,            0.031904,            0.045074,            0.014987,                   0,           0.0036941,           0.0036941,            0.066394
                  22,            0.054007,            0.026347,                   0,             0.26835,             0.33951,              0.1919,            0.046912,            0.041301,            0.016264,                   0,           0.0038588,           0.0038588,            0.064859
                  23,            0.056632,            0.026331,                   0,            0.061272,             0.31481,            0.046528,           0.0095544,            0.042761,            0.016976,                   0,            0.004023,            0.004023,            0.063323
                  24,            0.054329,            0.027196,                   0,             0.12306,             0.32099,            0.082368,            0.019472,            0.034675,            0.013965,                   0,           0.0041867,           0.0041867,            0.061787
                  25,             0.05311,            0.025236,                   0,            0.066369,             0.34568,            0.044998,            0.008028,            0.047305,            0.016621,                   0,           0.0043499,           0.0043499,             0.06025
                  26,            0.050023,            0.025095,                   0,             0.12918,             0.23457,            0.070492,            0.012461,            0.045906,            0.014586,                   0,           0.0045125,           0.0045125,            0.058713
                  27,             0.05147,            0.024855,                   0,             0.27469,             0.41846,             0.21102,            0.054386,            0.033923,            0.012326,                   0,           0.0046746,           0.0046746,            0.057175
                  28,            0.050485,            0.025529,                   0,             0.21076,             0.38272,             0.15394,            0.035058,            0.036662,            0.015137,                   0,            0.004836,            0.004836,            0.055636
                  29,             0.04993,             0.02507,                   0,             0.21619,             0.25029,              0.1132,            0.025049,            0.052926,            0.012325,                   0,           0.0049968,           0.0049968,            0.054097
                  30,            0.048314,            0.024896,                   0,            0.073388,             0.25309,            0.036496,           0.0069049,            0.053848,            0.014593,                   0,            0.005157,            0.005157,            0.052557
                  31,            0.047867,            0.023659,                   0,             0.10521,             0.45062,            0.077984,            0.017545,            0.038705,             0.01127,                   0,           0.0053166,           0.0053166,            0.051017
                  32,            0.047143,             0.02398,                   0,             0.41278,             0.46914,              0.3577,             0.09702,            0.039404,            0.010841,                   0,           0.0054754,           0.0054754,            0.049475
                  33,             0.04729,            0.023107,                   0,             0.20863,             0.43827,             0.13948,            0.026301,            0.056245,            0.012374,                   0,           0.0056336,           0.0056336,            0.047934
                  34,            0.046766,            0.023289,                   0,             0.15434,             0.45062,             0.10905,             0.02446,            0.051294,            0.011525,                   0,            0.005791,            0.005791,            0.046391
                  35,             0.04588,            0.023076,                   0,             0.40783,             0.42593,             0.27555,            0.068101,             0.04103,           0.0098153,                   0,           0.0059477,           0.0059477,            0.044848
                  36,            0.047356,            0.023191,                   0,             0.52752,             0.45488,             0.43113,             0.13292,            0.041112,           0.0099102,                   0,           0.0061036,           0.0061036,            0.043304
                  37,            0.049505,            0.022488,                   0,             0.39277,             0.48765,             0.32672,            0.094022,            0.041756,             0.01084,                   0,           0.0062587,           0.0062587,            0.041759
                  38,            0.048615,            0.022549,                   0,             0.47336,             0.53704,             0.41649,             0.10929,             0.04087,            0.011184,                   0,           0.0064131,           0.0064131,            0.040213
                  39,            0.046752,            0.021904,                   0,             0.55581,             0.48148,             0.43643,             0.12018,            0.036681,            0.010014,                   0,           0.0065666,           0.0065666,            0.038667
                  40,            0.047037,             0.02196,                   0,             0.31806,             0.46065,             0.22912,            0.061267,            0.036495,            0.011895,                   0,           0.0067193,           0.0067193,            0.037119
                  41,            0.047195,             0.02216,                   0,            0.014721,             0.12346,           0.0044851,          0.00099419,              0.0654,            0.010963,                   0,           0.0068711,           0.0068711,            0.035571
                  42,            0.045263,            0.022209,                   0,             0.23593,             0.33951,             0.18142,            0.050882,            0.047065,            0.010996,                   0,           0.0070221,           0.0070221,            0.034022
                  43,            0.044812,            0.021865,                   0,             0.57361,              0.5679,             0.53155,             0.16343,             0.03652,           0.0096317,                   0,           0.0071722,           0.0071722,            0.032472
                  44,            0.047834,            0.021508,                   0,             0.42676,             0.35185,             0.26106,            0.053101,            0.056359,            0.013084,                   0,           0.0073213,           0.0073213,            0.030921
                  45,            0.045565,            0.021349,                   0,             0.58237,             0.58534,             0.53936,             0.16249,             0.03816,           0.0091807,                   0,           0.0074695,           0.0074695,             0.02937
                  46,            0.044623,            0.021463,                   0,             0.54711,             0.34568,             0.31176,            0.075949,            0.051408,            0.009407,                   0,           0.0076168,           0.0076168,            0.027817
                  47,            0.042135,            0.020783,                   0,             0.30001,             0.33951,             0.18195,            0.036909,            0.055192,            0.011455,                   0,            0.007763,            0.007763,            0.026263
                  48,             0.04453,            0.020493,                   0,             0.56441,              0.3642,             0.33215,            0.079178,            0.050906,            0.010647,                   0,           0.0079083,           0.0079083,            0.024708
                  49,            0.043516,            0.020387,                   0,             0.12695,             0.11111,            0.025484,             0.00538,            0.063218,            0.011422,                   0,           0.0080526,           0.0080526,            0.023153
                  50,            0.044391,            0.020994,                   0,             0.60839,             0.62335,             0.54355,             0.18585,            0.039508,           0.0093666,                   0,           0.0081959,           0.0081959,            0.021596
                  51,            0.043674,            0.019623,                   0,             0.50917,             0.68517,             0.58766,             0.23047,            0.041417,           0.0090306,                   0,           0.0083381,           0.0083381,            0.020038
                  52,            0.045683,            0.020302,                   0,             0.51543,             0.61062,             0.48879,             0.17238,            0.034621,            0.010114,                   0,           0.0084793,           0.0084793,            0.018479
                  53,            0.045217,            0.019872,                   0,             0.60572,             0.63537,             0.57302,              0.1989,             0.04062,            0.010003,                   0,           0.0086194,           0.0086194,            0.016919
                  54,            0.044474,            0.019906,                   0,             0.47063,             0.49383,             0.38362,            0.078928,            0.042803,            0.010561,                   0,           0.0087584,           0.0087584,            0.015358
                  55,            0.044763,            0.019838,                   0,             0.32429,             0.45062,             0.22599,            0.053699,            0.042118,            0.013453,                   0,           0.0088963,           0.0088963,            0.013796
                  56,            0.044899,            0.019483,                   0,              0.5319,             0.60323,             0.50136,             0.13683,             0.03433,            0.011634,                   0,           0.0090331,           0.0090331,            0.012233
                  57,            0.045324,            0.020089,                   0,             0.26754,             0.46296,             0.21649,            0.054581,            0.044181,            0.016667,                   0,           0.0091687,           0.0091687,            0.010669
                  58,             0.04316,             0.02002,                   0,             0.25482,             0.39506,              0.1656,            0.036863,            0.043731,            0.014086,                   0,           0.0092846,           0.0092846,           0.0092846
                  59,            0.043542,            0.020062,                   0,             0.16183,             0.32716,             0.11918,            0.026336,            0.036016,            0.018013,                   0,           0.0092846,           0.0092846,           0.0092846
                  60,            0.043143,            0.019263,                   0,              0.7629,             0.59586,             0.62567,             0.21021,            0.039906,           0.0097856,                   0,           0.0092605,           0.0092605,           0.0092605
                  61,            0.042216,            0.019137,                   0,             0.58859,             0.40625,              0.3902,             0.10654,             0.04783,             0.00992,                   0,           0.0092361,           0.0092361,           0.0092361
                  62,             0.04352,            0.019271,                   0,             0.71513,             0.66633,             0.66089,              0.1898,            0.045857,           0.0076067,                   0,           0.0092113,           0.0092113,           0.0092113
                  63,            0.041629,            0.019452,                   0,             0.32632,             0.25926,             0.16612,             0.03658,             0.05889,            0.010085,                   0,           0.0091861,           0.0091861,           0.0091861
                  64,            0.041938,            0.018842,                   0,             0.78303,             0.64815,              0.6697,             0.20159,            0.034585,           0.0099116,                   0,           0.0091606,           0.0091606,           0.0091606
