               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10148,            0.024687,                   0,            0.018025,            0.067901,             0.00676,           0.0011476,            0.060232,            0.015331,                   0,             0.00016,             0.00016,             0.09856
                   1,            0.077354,            0.023672,                   0,            0.019706,             0.40741,            0.014659,           0.0024493,             0.05089,            0.014299,                   0,          0.00032999,          0.00032999,             0.09703
                   2,            0.070079,            0.023626,                   0,             0.07555,             0.17901,            0.042738,           0.0075703,            0.048567,            0.013503,                   0,          0.00049996,          0.00049996,              0.0955
                   3,            0.063109,            0.024583,                   0,            0.097816,             0.33951,             0.07656,            0.014152,            0.054246,            0.012669,                   0,          0.00066987,          0.00066987,             0.09397
                   4,            0.058362,            0.024463,                   0,             0.17841,             0.17284,            0.090286,            0.015421,            0.050786,            0.012655,                   0,          0.00083971,          0.00083971,             0.09244
                   5,            0.056543,            0.024573,                   0,              0.1662,             0.21605,             0.11085,            0.019475,             0.05408,            0.010719,                   0,           0.0010094,           0.0010094,            0.090909
                   6,             0.05303,             0.02324,                   0,             0.27887,             0.38272,             0.23842,            0.048162,            0.047741,           0.0098652,                   0,           0.0011791,           0.0011791,            0.089379
                   7,            0.052399,            0.021964,                   0,             0.37972,             0.45679,             0.31514,            0.067649,            0.036082,            0.010868,                   0,           0.0013485,           0.0013485,            0.087849
                   8,            0.050326,            0.020922,                   0,             0.45202,             0.56173,             0.40449,            0.086963,            0.043234,           0.0087807,                   0,           0.0015179,           0.0015179,            0.086318
                   9,            0.051627,             0.02043,                   0,             0.57476,             0.55556,             0.52797,             0.14642,            0.043467,           0.0084171,                   0,            0.001687,            0.001687,            0.084787
                  10,            0.048383,            0.019502,                   0,             0.65816,             0.64177,             0.62887,              0.1892,            0.043289,           0.0081213,                   0,           0.0018559,           0.0018559,            0.083256
                  11,            0.046438,             0.01937,                   0,              0.7773,             0.61728,             0.69797,             0.23627,            0.035599,           0.0088573,                   0,           0.0020246,           0.0020246,            0.081725
                  12,            0.047158,            0.018549,                   0,             0.43548,             0.40741,             0.33433,            0.094281,            0.041101,            0.010306,                   0,           0.0021931,           0.0021931,            0.080193
                  13,            0.046166,            0.018293,                   0,             0.82908,             0.80864,             0.84251,             0.31167,            0.043323,           0.0091085,                   0,           0.0023612,           0.0023612,            0.078661
                  14,            0.044685,            0.018153,                   0,             0.70813,             0.60494,             0.65129,             0.17573,            0.044786,           0.0082646,                   0,           0.0025291,           0.0025291,            0.077129
                  15,            0.044311,            0.018022,                   0,             0.79658,             0.80247,             0.81417,             0.30546,            0.035825,           0.0087044,                   0,           0.0026967,           0.0026967,            0.075597
                  16,             0.04271,            0.017631,                   0,             0.90061,             0.83897,             0.89438,             0.37991,            0.038433,           0.0078095,                   0,           0.0028639,           0.0028639,            0.074064
                  17,             0.04398,            0.017345,                   0,             0.87916,             0.80836,             0.83802,             0.31734,             0.03825,           0.0079519,                   0,           0.0030307,           0.0030307,            0.072531
                  18,            0.042415,            0.017603,                   0,              0.8386,             0.80247,             0.81701,             0.27476,            0.038116,           0.0070723,                   0,           0.0031972,           0.0031972,            0.070997
                  19,            0.043422,            0.016977,                   0,             0.70052,             0.61111,             0.68378,             0.19455,            0.032582,           0.0072563,                   0,           0.0033632,           0.0033632,            0.069463
                  20,            0.042467,            0.017526,                   0,             0.83842,             0.64198,             0.71489,             0.22093,            0.033555,           0.0086061,                   0,           0.0035289,           0.0035289,            0.067929
                  21,            0.040803,            0.016886,                   0,             0.85395,              0.7963,             0.84277,             0.30678,            0.028687,           0.0083263,                   0,           0.0036941,           0.0036941,            0.066394
                  22,            0.042617,            0.016424,                   0,             0.93534,             0.80864,             0.88757,             0.37116,            0.031483,            0.008761,                   0,           0.0038588,           0.0038588,            0.064859
                  23,            0.043246,            0.016616,                   0,             0.87706,             0.75309,             0.81984,             0.31224,            0.033923,           0.0088565,                   0,            0.004023,            0.004023,            0.063323
                  24,            0.041309,            0.017134,                   0,             0.86585,             0.75926,             0.82781,             0.29719,            0.033406,            0.009178,                   0,           0.0041867,           0.0041867,            0.061787
                  25,            0.041705,            0.016264,                   0,             0.75416,             0.83322,              0.8186,             0.29205,            0.036447,            0.008162,                   0,           0.0043499,           0.0043499,             0.06025
                  26,            0.039745,            0.016288,                   0,             0.76794,             0.78395,              0.7714,             0.24615,            0.038457,           0.0076703,                   0,           0.0045125,           0.0045125,            0.058713
                  27,              0.0415,            0.016308,                   0,             0.80665,             0.85185,             0.84631,             0.34586,            0.039822,           0.0067656,                   0,           0.0046746,           0.0046746,            0.057175
                  28,            0.041144,            0.017129,                   0,             0.83731,             0.76543,             0.83292,             0.23842,            0.032827,           0.0078276,                   0,            0.004836,            0.004836,            0.055636
                  29,            0.039129,            0.016771,                   0,             0.81443,             0.75855,             0.77769,             0.24475,            0.038828,           0.0076103,                   0,           0.0049968,           0.0049968,            0.054097
                  30,            0.040034,            0.017105,                   0,             0.28215,              0.2963,             0.14787,            0.031932,            0.054033,           0.0082927,                   0,            0.005157,            0.005157,            0.052557
                  31,            0.043149,            0.017123,                   0,             0.72782,             0.66027,             0.70417,             0.26725,            0.043253,            0.007733,                   0,           0.0053166,           0.0053166,            0.051017
                  32,            0.039935,            0.016803,                   0,             0.78051,             0.74632,             0.75037,             0.25765,             0.04164,           0.0097913,                   0,           0.0054754,           0.0054754,            0.049475
                  33,            0.039637,            0.016162,                   0,             0.85445,              0.7284,             0.79273,              0.3113,            0.044547,            0.007479,                   0,           0.0056336,           0.0056336,            0.047934
                  34,            0.039421,            0.016311,                   0,             0.83384,             0.83951,             0.82758,             0.29668,            0.037949,           0.0072864,                   0,            0.005791,            0.005791,            0.046391
                  35,            0.038092,            0.016256,                   0,             0.82466,             0.84568,             0.84648,             0.30264,            0.033178,            0.007046,                   0,           0.0059477,           0.0059477,            0.044848
                  36,            0.039151,              0.0164,                   0,             0.79628,             0.79622,             0.78708,             0.23954,            0.029677,           0.0078396,                   0,           0.0061036,           0.0061036,            0.043304
                  37,            0.040608,            0.015978,                   0,             0.76027,              0.7284,             0.72494,             0.21586,            0.034212,           0.0086579,                   0,           0.0062587,           0.0062587,            0.041759
                  38,            0.041236,            0.016093,                   0,             0.80244,             0.77778,             0.78119,             0.29156,            0.028682,            0.009515,                   0,           0.0064131,           0.0064131,            0.040213
                  39,            0.040139,            0.015797,                   0,             0.81092,             0.69136,             0.71513,             0.23415,            0.041744,            0.008071,                   0,           0.0065666,           0.0065666,            0.038667
                  40,            0.040315,            0.016111,                   0,             0.89541,             0.84554,             0.89702,             0.36304,            0.030372,           0.0082057,                   0,           0.0067193,           0.0067193,            0.037119
                  41,            0.039935,            0.015987,                   0,             0.83077,             0.82099,             0.81207,             0.30285,            0.034607,           0.0088449,                   0,           0.0068711,           0.0068711,            0.035571
                  42,            0.038577,            0.016217,                   0,             0.85881,              0.7963,             0.81513,             0.30013,            0.041008,           0.0090428,                   0,           0.0070221,           0.0070221,            0.034022
                  43,             0.03774,            0.015908,                   0,             0.88484,             0.80864,             0.83207,             0.31787,            0.041379,            0.007968,                   0,           0.0071722,           0.0071722,            0.032472
                  44,            0.039689,             0.01589,                   0,               0.799,             0.82099,             0.81831,              0.3354,            0.030349,           0.0082507,                   0,           0.0073213,           0.0073213,            0.030921
                  45,            0.038896,            0.016135,                   0,             0.83415,             0.83951,             0.86997,             0.35099,            0.042163,           0.0080599,                   0,           0.0074695,           0.0074695,             0.02937
                  46,            0.038594,            0.016153,                   0,             0.81847,             0.80711,             0.85415,             0.35935,             0.03484,           0.0086256,                   0,           0.0076168,           0.0076168,            0.027817
                  47,            0.037025,            0.015808,                   0,             0.58977,                 0.5,             0.52047,             0.13529,            0.040654,            0.010637,                   0,            0.007763,            0.007763,            0.026263
                  48,            0.039412,            0.016021,                   0,             0.41272,             0.46851,             0.30262,            0.091884,            0.042178,            0.011425,                   0,           0.0079083,           0.0079083,            0.024708
                  49,            0.040283,             0.01685,                   0,            0.029904,            0.024691,           0.0027421,          0.00090416,            0.052145,            0.018112,                   0,           0.0080526,           0.0080526,            0.023153
                  50,            0.040425,            0.017295,                   0,             0.66019,             0.74691,             0.62632,             0.18956,            0.038823,            0.010064,                   0,           0.0081959,           0.0081959,            0.021596
                  51,            0.040271,            0.016075,                   0,             0.81208,             0.82696,             0.79288,             0.27361,            0.036211,           0.0084191,                   0,           0.0083381,           0.0083381,            0.020038
                  52,            0.042245,            0.016617,                   0,             0.71749,             0.75251,             0.70695,             0.22194,            0.044966,           0.0087612,                   0,           0.0084793,           0.0084793,            0.018479
                  53,            0.041022,             0.01658,                   0,             0.76803,             0.76543,             0.78692,             0.30342,            0.042325,               0.008,                   0,           0.0086194,           0.0086194,            0.016919
                  54,             0.03962,            0.016334,                   0,             0.73813,             0.61111,              0.6495,             0.22362,            0.035694,            0.010603,                   0,           0.0087584,           0.0087584,            0.015358
                  55,            0.039484,            0.016247,                   0,             0.52843,             0.67284,             0.50476,             0.18472,            0.038522,           0.0083352,                   0,           0.0088963,           0.0088963,            0.013796
                  56,            0.038825,            0.016046,                   0,             0.71599,             0.71605,             0.67704,             0.21821,            0.039995,           0.0088807,                   0,           0.0090331,           0.0090331,            0.012233
                  57,            0.040137,            0.016365,                   0,              0.8808,             0.77778,             0.82923,             0.31227,            0.031615,           0.0075315,                   0,           0.0091687,           0.0091687,            0.010669
                  58,            0.039221,            0.016476,                   0,              0.6556,             0.63453,             0.61977,             0.22332,            0.029744,            0.010158,                   0,           0.0092846,           0.0092846,           0.0092846
                  59,            0.039289,            0.016648,                   0,             0.77098,              0.7689,             0.76846,             0.28015,            0.037765,            0.010194,                   0,           0.0092846,           0.0092846,           0.0092846
                  60,            0.039181,            0.016237,                   0,             0.71168,             0.77709,             0.70319,             0.23734,            0.037821,            0.011496,                   0,           0.0092605,           0.0092605,           0.0092605
                  61,            0.038101,            0.016279,                   0,             0.63675,             0.58642,             0.56097,             0.17126,            0.039318,            0.011156,                   0,           0.0092361,           0.0092361,           0.0092361
                  62,            0.040445,             0.01666,                   0,             0.20564,             0.18519,            0.088865,            0.013286,            0.052609,           0.0098491,                   0,           0.0092113,           0.0092113,           0.0092113
                  63,            0.039116,            0.017284,                   0,             0.72047,             0.54321,             0.60338,             0.19998,            0.035508,            0.012254,                   0,           0.0091861,           0.0091861,           0.0091861
                  64,            0.039682,            0.017307,                   0,             0.33827,             0.26506,             0.21183,            0.063867,            0.035973,            0.012856,                   0,           0.0091606,           0.0091606,           0.0091606
                  65,            0.040543,            0.017539,                   0,             0.56961,             0.12346,             0.13181,            0.045898,            0.041198,            0.016669,                   0,           0.0091348,           0.0091348,           0.0091348
                  66,            0.038439,            0.016516,                   0,              0.4591,             0.35185,             0.29778,            0.086057,            0.035141,            0.011122,                   0,           0.0091086,           0.0091086,           0.0091086
                  67,            0.037777,            0.016468,                   0,             0.75276,             0.73457,             0.76346,             0.30662,            0.036451,           0.0089322,                   0,           0.0090821,           0.0090821,           0.0090821
                  68,            0.038362,            0.016542,                   0,             0.79839,             0.80864,             0.80541,             0.32947,            0.035433,           0.0080274,                   0,           0.0090552,           0.0090552,           0.0090552
                  69,            0.037408,            0.016603,                   0,             0.77975,              0.8086,             0.79916,             0.30934,            0.030418,            0.009417,                   0,            0.009028,            0.009028,            0.009028
                  70,            0.035913,            0.016477,                   0,             0.82603,             0.82099,             0.84444,             0.36554,            0.035317,           0.0090102,                   0,           0.0090004,           0.0090004,           0.0090004
                  71,            0.037446,            0.015998,                   0,             0.39019,             0.33333,             0.24758,            0.061509,            0.043197,            0.010396,                   0,           0.0089726,           0.0089726,           0.0089726
                  72,            0.036719,             0.01601,                   0,             0.74047,             0.72209,             0.72262,             0.26474,             0.04121,           0.0093047,                   0,           0.0089444,           0.0089444,           0.0089444
                  73,            0.037324,            0.016215,                   0,             0.83528,             0.84513,                0.84,             0.33515,            0.039385,           0.0075399,                   0,           0.0089159,           0.0089159,           0.0089159
                  74,            0.036528,            0.015908,                   0,             0.81244,             0.80214,             0.79521,             0.29783,            0.039867,           0.0081282,                   0,            0.008887,            0.008887,            0.008887
                  75,            0.034595,            0.015927,                   0,             0.85475,             0.80247,              0.8246,             0.31619,            0.031239,            0.011065,                   0,           0.0088579,           0.0088579,           0.0088579
                  76,            0.036812,            0.015943,                   0,             0.89066,             0.85482,             0.89148,             0.39375,            0.033782,            0.010814,                   0,           0.0088284,           0.0088284,           0.0088284
                  77,            0.034797,            0.015937,                   0,             0.89992,             0.88808,             0.89299,             0.36754,            0.038862,           0.0095951,                   0,           0.0087987,           0.0087987,           0.0087987
                  78,            0.036544,            0.015649,                   0,             0.86325,             0.85802,             0.88473,             0.38267,            0.028228,           0.0089965,                   0,           0.0087686,           0.0087686,           0.0087686
                  79,            0.036523,            0.015709,                   0,             0.83818,             0.79934,             0.80452,             0.33574,            0.032309,           0.0085569,                   0,           0.0087382,           0.0087382,           0.0087382
                  80,            0.036536,            0.015334,                   0,             0.81174,             0.85174,             0.83315,             0.32946,            0.038429,           0.0079918,                   0,           0.0087075,           0.0087075,           0.0087075
                  81,            0.035744,             0.01536,                   0,             0.79856,             0.78309,             0.74912,             0.27622,            0.034399,           0.0083561,                   0,           0.0086765,           0.0086765,           0.0086765
                  82,            0.035355,            0.015241,                   0,             0.85488,             0.83951,             0.85901,             0.35097,            0.037354,           0.0092683,                   0,           0.0086452,           0.0086452,           0.0086452
                  83,            0.034689,            0.015864,                   0,             0.75989,             0.82048,             0.81511,             0.29263,            0.035202,           0.0086997,                   0,           0.0086137,           0.0086137,           0.0086137
                  84,            0.035913,            0.015495,                   0,             0.84662,             0.71553,             0.75251,             0.30806,            0.031649,           0.0082361,                   0,           0.0085818,           0.0085818,           0.0085818
